"","PERSONID","VARSTRAT","GCDWORK","WKFTPT","HH_RACE","WKFTPT.1","WKRMHM","DRIVER","DTCOST","DTCONJ","R_SEX","R_AGE","HBHUR","WRKCOUNT","HHFAMINC"
"1253","20187860-1",97,21.971478008,2,1,2,2,1,3,-1,2,33,"TC",1,17
"1258","20188531-1",11,0.9953985,2,1,2,2,1,2,-1,1,78,"TC",2,10
"1259","20188531-2",11,2.9992330386,2,1,2,1,1,3,-1,2,52,"TC",2,10
"1279","20194569-1",16,3.6242393204,2,1,2,2,1,2,-1,1,24,"TC",2,10
"1302","20198316-3",50,4.1582919791,2,1,2,2,1,-1,-1,2,20,"U",2,13
"1305","20198615-2",28,4.5608682322,2,1,2,1,1,3,-1,1,77,"TC",1,1
"1308","20198727-2",81,23.074909046,2,1,2,2,1,3,-1,2,31,"TC",2,8
"1334","20203292-1",46,12.42993014,2,1,2,2,1,-1,-1,2,37,"TC",2,12
"1360","20209865-1",71,3.6392495441,2,1,2,2,1,2,-1,2,58,"C",2,17
"1366","20210898-1",89,2.3608444886,2,1,2,2,1,3,-1,1,69,"S",1,10
"1373","20211411-2",83,3.3750499187,2,1,2,2,1,-1,2,1,69,"S",1,18
"1388","20214430-3",7,1.681985723,2,1,2,2,1,-1,1,2,75,"S",2,11
"1396","20215080-1",74,1.6663183413,2,1,2,2,1,-1,2,1,72,"C",1,5
"1417","20217833-4",20,3.2408431566,2,1,2,2,1,3,-1,1,49,"TC",1,6
"1426","20218812-3",57,4.6967979502,2,1,2,2,1,-1,-1,1,18,"S",3,18
"1437","20222248-2",79,124.22078949,2,1,2,2,1,-1,-1,1,79,"TC",1,10
"1447","20223478-1",16,2.0642247417,2,1,2,2,1,3,-1,2,50,"C",1,15
"1497","20231987-1",90,0.4089785367,2,1,2,1,1,2,-1,2,63,"C",2,6
"1512","20234009-1",3,0.1588952421,2,1,2,2,1,2,-1,2,71,"TC",1,12
"1530","20236124-1",83,3.8578636301,2,2,2,2,1,-1,-1,2,51,"U",1,2
"1554","20239880-1",68,3.2781383671,2,1,2,2,1,-1,-1,1,79,"TC",1,12
"1562","20242303-1",29,3.634636535,2,1,2,2,1,3,-1,2,60,"S",1,5
"1565","20243579-1",33,0.2147906485,2,1,2,2,1,-1,-1,2,65,"TC",1,12
"1577","20244651-3",21,1.7856575191,2,1,2,2,1,2,-1,1,17,"S",3,12
"1607","20249674-2",97,11.483768777,2,1,2,2,1,-1,-1,2,23,"TC",2,6
"1625","20254744-1",54,10.262642686,2,1,2,2,1,3,-1,2,39,"C",3,18
"1627","20254744-3",54,0.9488599611,2,1,2,2,1,-1,-1,2,17,"C",3,18
"1632","20255367-2",89,1.8080253155,2,1,2,1,1,-1,2,1,65,"TC",1,4
"1642","20257361-8",96,4.385652097,2,7,2,2,2,-1,-1,2,50,"C",3,10
"1646","20259280-1",95,8.5222465943,2,7,2,2,1,-1,-1,2,28,"TC",1,5
"1673","20263803-3",69,7.0340741551,2,1,2,2,1,-1,-1,1,17,"TC",3,17
"1696","20265928-2",11,7.8040012036,2,1,2,2,1,3,-1,1,72,"TC",1,17
"1725","20270986-2",94,5.2901333376,2,1,2,2,1,2,-1,1,48,"TC",2,15
"1735","20273400-1",43,8.5970279579,2,1,2,2,1,-1,3,2,67,"S",1,18
"1767","20278076-1",93,19.005819785,2,1,2,2,1,-1,3,1,72,"TC",2,13
"1773","20278982-3",97,8.2063257563,2,1,2,2,1,-1,-1,1,33,"U",2,12
"1775","20279000-2",11,0.7681754428,2,1,2,2,1,2,-1,2,55,"C",1,17
"1786","20280444-1",98,0.2736361612,2,1,2,2,2,2,-1,2,24,"C",1,3
"1795","20281160-1",69,4.2937537033,2,1,2,2,1,3,-1,2,69,"TC",1,8
"1809","20283173-1",74,14.226699211,2,1,2,2,1,-1,-1,2,19,"TC",2,17
"1826","20287500-6",26,3.4093347526,2,1,2,2,1,2,-1,2,22,"TC",3,9
"1840","20289906-1",1,7.0740198942,2,1,2,2,1,3,-1,2,41,"TC",1,11
"1848","20291057-1",63,0.3306845937,2,1,2,2,1,-1,-1,2,57,"S",2,17
"1866","20293471-2",91,7.0182420735,2,1,2,2,1,-1,-1,1,65,"TC",1,12
"1871","20293958-1",75,6.1217126064,2,1,2,2,1,2,-1,2,53,"TC",1,-7
"1874","20294160-1",10,6.1151106128,2,1,2,2,1,-1,-1,1,63,"TC",1,8
"1876","20294236-2",29,46.402754324,2,3,2,2,1,-1,-1,1,27,"U",2,7
"1915","20298243-3",14,11.052990028,2,1,2,2,1,3,-1,2,18,"TC",1,-8
"1926","20301170-1",86,20.405008386,2,1,2,2,1,-1,-1,1,70,"S",1,-7
"1943","20306072-2",25,12.188655476,2,1,2,2,1,3,-1,1,59,"TC",1,2
"1952","20306933-1",8,6.0340068786,2,1,2,2,1,-1,-1,1,51,"TC",3,16
"1954","20306933-3",8,2.2368134971,2,1,2,2,1,-1,-1,1,18,"TC",3,16
"1957","20307181-1",89,3.665015268,2,1,2,1,1,-1,-1,2,50,"S",3,18
"1959","20307181-3",89,3.665015268,2,1,2,2,1,-1,2,1,21,"S",3,18
"1992","20312167-1",80,16.651106196,2,1,2,2,1,-1,-1,1,61,"TC",1,12
"1994","20312390-1",99,0.4681558898,2,1,2,2,1,-1,-1,2,60,"C",1,7
"1997","20312756-2",71,0.0927352707,2,1,2,-1,1,3,-1,2,50,"TC",2,18
"2026","20320050-2",61,6.3477403854,2,1,2,2,1,-1,-1,1,53,"C",2,12
"2071","20329905-2",79,1.8478371385,2,1,2,2,1,-1,-1,2,40,"S",2,17
"2099","20332316-1",29,3.5907423654,2,1,2,2,1,-1,-1,2,64,"S",1,14
"2100","20332361-1",69,15.366553796,2,1,2,2,1,3,-1,2,53,"S",2,11
"2107","20333902-3",24,15.347731801,2,1,2,2,1,3,-1,2,18,"TC",3,-8
"2111","20334422-3",59,0.2945839002,2,1,2,2,1,-1,-1,1,17,"TC",2,8
"2122","20334794-3",16,13.229997599,2,1,2,2,1,2,-1,2,18,"TC",3,14
"2136","20340713-1",49,2.5618665974,2,1,2,2,1,-1,-1,1,78,"TC",1,-7
"2152","20344270-2",19,0.5273689281,2,1,2,2,1,3,-1,1,78,"TC",1,7
"2158","20346416-1",54,12.215009341,2,1,2,2,1,-1,-1,2,70,"TC",1,5
"2176","20348111-1",95,12.999628814,2,1,2,2,1,2,-1,1,18,"TC",4,14
"2179","20348111-4",95,0.4154856439,2,1,2,2,1,-1,-1,1,20,"TC",4,14
"2203","20351175-1",37,2.4344068332,2,3,2,2,1,-1,-1,2,18,"C",1,2
"2219","20354390-1",23,1.0793174266,2,1,2,1,1,-1,-1,2,49,"TC",1,8
"2230","20358772-2",66,4.6904324851,2,1,2,1,1,-1,-1,2,46,"TC",2,18
"2251","20360560-2",82,1.3956311688,2,3,2,2,1,-1,-1,2,38,"C",2,16
"2266","20361594-1",29,3.5378401714,2,1,2,1,1,3,-1,1,62,"S",1,17
"2280","20362603-1",99,19.382556166,2,1,2,2,1,-1,-1,2,53,"TC",2,17
"2304","20366254-1",61,1.6813560416,2,1,2,2,1,-1,-1,2,65,"S",1,9
"2318","20369273-1",4,4.5922757144,2,1,2,2,1,-1,-1,2,36,"S",1,4
"2349","20374802-1",78,1.4446336566,2,1,2,2,1,-1,-1,2,61,"TC",1,-7
"2364","20375546-5",70,18.006123912,2,1,2,2,1,-1,-1,2,19,"TC",5,9
"2368","20376477-3",25,2.2073534214,2,1,2,2,1,-1,-1,1,17,"TC",3,14
"2373","20379094-1",61,13.327849407,2,1,2,1,1,-1,-1,2,58,"S",1,12
"2384","20380287-1",61,2.2089847666,2,1,2,2,1,-1,-1,2,56,"TC",1,10
"2388","20380335-1",27,0.7840459642,2,97,2,2,1,2,-1,2,35,"C",1,4
"2394","20380616-1",81,4.0328997809,2,1,2,2,1,-1,-1,2,48,"U",2,1
"2414","20383390-3",98,5.2184233411,2,1,2,2,1,3,-1,2,23,"TC",3,18
"2417","20384669-1",63,18.613468782,2,1,2,2,1,2,-1,2,35,"TC",1,4
"2440","20388265-2",42,0.7876805315,2,1,2,2,1,-1,-1,2,19,"TC",2,16
"2446","20389066-1",74,3.795669602,2,1,2,1,1,-1,3,2,63,"S",2,18
"2452","20389776-2",69,5.1460104734,2,1,2,2,1,3,-1,2,32,"TC",1,5
"2457","20390099-2",29,4.3152414134,2,1,2,2,1,-1,-1,1,17,"C",3,17
"2458","20390099-3",29,10.073322409,2,1,2,2,1,-1,-1,1,16,"C",3,17
"2459","20390398-1",81,1.0345998736,2,1,2,2,2,-1,-1,2,55,"S",1,4
"2469","20391694-3",71,1.7908165141,2,1,2,2,1,2,-1,1,18,"TC",2,18
"2470","20391694-4",71,5.5966572627,2,1,2,2,1,-1,-1,1,57,"TC",2,18
"2480","20392776-3",85,7.4103918424,2,1,2,2,1,2,-1,2,19,"S",2,18
"2494","20393849-3",12,7.495239699,2,1,2,2,1,-1,-1,2,20,"TC",3,9
"2495","20393849-4",12,7.5414603506,2,1,2,2,1,2,-1,2,16,"TC",3,9
"2496","20394060-1",48,1.7158885033,2,1,2,2,1,-1,-1,1,73,"TC",2,-8
"2497","20394060-2",48,5.125030711,2,1,2,2,1,3,-1,2,73,"TC",2,-8
"2509","20395562-1",57,8.04754558,2,1,2,2,1,3,-1,2,58,"C",1,17
"2532","20398693-2",95,4.009485395,2,1,2,2,2,-1,-1,2,40,"S",2,15
"2545","20399962-1",84,2.0628104417,2,1,2,2,1,-1,-1,2,36,"S",2,18
"2561","20404286-1",81,1.9281673291,2,1,2,1,1,3,-1,1,52,"TC",2,-7
"2596","20409423-1",78,5.7087003828,2,1,2,2,1,-1,-1,2,67,"S",1,13
"2631","20413233-1",6,2.8939386132,2,1,2,2,1,2,-1,2,42,"S",1,17
"2673","20419093-1",11,0.3223037697,2,1,2,1,1,3,-1,2,50,"C",2,16
"2691","20422280-3",44,1.4671243946,2,1,2,2,1,-1,-1,1,18,"U",3,18
"2713","20425740-1",45,9.1018890977,2,1,2,2,1,3,-1,1,19,"S",3,16
"2719","20426729-1",65,2.5905349763,2,2,2,2,1,-1,-1,2,26,"U",1,6
"2722","20428152-1",22,0.8099957518,2,1,2,2,1,3,-1,2,54,"C",3,10
"2724","20428152-3",22,2.1560257065,2,1,2,2,1,3,-1,2,16,"C",3,10
"2727","20428479-1",78,6.9599756672,2,1,2,1,1,1,-1,2,53,"TC",2,18
"2734","20429364-2",29,2.7715825077,2,1,2,2,1,-1,-1,2,40,"S",2,16
"2738","20429579-2",100,292.65699309,2,2,2,2,1,-1,-1,1,70,"C",1,11
"2747","20431031-1",10,11.67945054,2,1,2,2,1,2,-1,1,24,"C",1,12
"2782","20436241-1",11,3.7339424201,2,1,2,2,1,-1,1,2,65,"S",1,6
"2785","20436643-1",65,6.2583722577,2,1,2,2,1,-1,-1,1,71,"TC",1,18
"2805","20439523-2",67,9.7470505737,2,1,2,2,1,-1,-1,2,43,"TC",2,15
"2823","20442822-1",44,2.1966476201,2,1,2,2,1,-1,-1,2,64,"TC",1,10
"2839","20447032-1",35,15.19747521,2,1,2,1,1,-1,-1,2,46,"TC",3,18
"2841","20447032-3",35,3.3344631399,2,1,2,2,1,-1,-1,1,16,"TC",3,18
"2845","20447292-3",63,3.7758210232,2,1,2,2,1,-1,-1,1,18,"S",3,2
"2869","20451525-1",25,1.3907187192,2,3,2,2,1,-1,-1,2,44,"C",2,8
"2877","20452988-1",98,6.9587183952,2,2,2,2,2,-1,-1,2,70,"U",1,2
"2879","20454151-3",80,0.8665360144,2,1,2,2,1,3,-1,1,20,"TC",2,18
"2903","20458494-1",53,0.8017731351,2,1,2,2,1,3,-1,2,68,"S",1,12
"2911","20461953-3",32,5.4745867488,2,1,2,2,1,2,-1,1,24,"TC",2,-8
"2939","20465997-2",45,4.0001405302,2,1,2,2,1,-1,-1,2,54,"TC",2,12
"2940","20466163-1",2,4.0184921877,2,1,2,2,1,-1,-1,2,44,"S",2,17
"2959","20470544-4",16,1.7899361086,2,1,2,2,1,3,-1,1,19,"U",3,18
"2965","20471550-3",36,2.7034111596,2,6,2,2,1,-1,3,1,38,"C",2,14
"2982","20475110-1",48,7.6846332229,2,1,2,2,1,3,-1,1,59,"S",3,6
"2984","20475110-3",48,1.9410769305,2,1,2,2,1,-1,-1,2,25,"S",3,6
"2989","20475660-1",52,11.513537155,2,1,2,1,1,3,-1,1,41,"TC",1,5
"3004","20477730-3",18,4.8972243523,2,1,2,2,1,-1,-1,1,18,"S",2,18
"3017","20480084-2",84,11.900411884,2,3,2,2,1,-1,2,2,32,"TC",1,18
"3058","20487449-2",34,1.1238091019,2,1,2,2,1,2,-1,1,17,"TC",2,18
"3070","20489715-1",61,7.5223906818,2,1,2,2,1,3,-1,1,29,"TC",2,13
"3074","20490766-1",7,5.1979418682,2,1,2,2,1,3,-1,2,34,"TC",2,17
"3087","20492564-3",21,1.5709867676,2,1,2,2,1,2,-1,1,21,"S",3,18
"3096","20494447-3",1,0.9078247693,2,1,2,2,1,-1,-1,1,16,"C",3,18
"3099","20495305-1",25,2.28863404,2,1,2,2,1,-1,-1,2,56,"U",2,12
"3108","20496900-1",35,6.4191080336,2,1,2,2,1,3,-1,1,79,"TC",1,6
"3126","20498548-2",51,1.5843983367,2,1,2,2,1,-1,-1,1,68,"C",1,10
"3149","20501961-2",73,4.0183624112,2,1,2,2,1,-1,1,2,69,"TC",1,8
"3186","20507208-2",69,2.9173910859,2,2,2,2,1,3,-1,2,19,"TC",2,-8
"3189","20507495-3",29,13.905560462,2,1,2,2,1,2,-1,2,21,"TC",1,17
"3197","20509695-1",96,17.462326494,2,1,2,1,1,-1,-1,2,32,"S",2,14
"3205","20511643-1",12,15.944341835,2,1,2,1,1,-1,-1,2,34,"U",2,15
"3226","20515838-2",41,4.7194881771,2,1,2,2,1,-1,-1,2,50,"TC",1,18
"3230","20515922-4",61,3.7501842021,2,1,2,2,1,1,-1,2,18,"U",3,14
"3249","20518222-4",75,0.808682793,2,1,2,2,1,-1,-1,1,17,"TC",3,10
"3263","20522322-1",92,2146.883158,2,2,2,1,1,-1,-1,1,51,"C",1,3
"3270","20523712-3",1,6.6156988831,2,1,2,2,1,2,-1,2,20,"U",2,17
"3278","20525060-5",78,5.2461918165,2,1,2,2,1,-1,-1,2,21,"TC",4,15
"3295","20529264-1",3,3.6846491037,2,1,2,2,1,-1,-1,2,21,"S",2,10
"3318","20532125-1",9,1.1418823237,2,1,2,2,1,2,-1,2,62,"TC",2,18
"3323","20532714-2",35,4.2085103922,2,2,2,2,1,-1,-1,2,64,"TC",2,12
"3381","20541604-2",63,12.832461713,2,1,2,2,1,-1,-1,1,66,"C",1,5
"3399","20544593-1",30,8.4301978392,2,1,2,2,1,-1,-1,1,67,"U",1,12
"3403","20544913-3",60,3.5815520669,2,1,2,2,1,2,-1,2,17,"TC",2,18
"3411","20546001-3",97,3.8092762631,2,1,2,2,1,-1,-1,1,19,"S",2,18
"3433","20551694-1",46,3.094946108,2,1,2,2,1,-1,-1,2,66,"C",2,6
"3435","20551694-3",46,3.0881020059,2,1,2,2,2,-1,-1,2,36,"C",2,6
"3470","20559319-3",67,2.3702588037,2,6,2,2,1,-1,-1,1,18,"S",3,17
"3471","20559391-1",71,14.375440933,2,1,2,2,1,-1,-1,1,73,"S",2,18
"3488","20561732-1",68,8.2082723548,2,1,2,2,1,-1,-1,2,62,"C",1,7
"3493","20563192-1",83,2.007824511,2,1,2,2,1,2,-1,1,69,"TC",1,11
"3495","20563398-2",17,1.2939898717,2,1,2,1,1,3,-1,2,70,"TC",1,2
"3497","20563491-2",19,8.046504491,2,1,2,2,1,3,-1,1,65,"TC",1,-7
"3518","20567903-2",60,2.964073378,2,1,2,2,1,-1,-1,1,79,"C",1,11
"3537","20569626-3",31,19.504326481,2,1,2,2,1,-1,1,2,19,"S",4,-7
"3538","20569626-4",31,19.504326481,2,1,2,2,1,-1,2,2,19,"S",4,-7
"3541","20569774-2",40,2.9275625426,2,1,2,2,1,2,-1,2,58,"S",1,16
"3547","20570613-2",86,5.6605445453,2,1,2,1,1,3,-1,2,42,"S",2,18
"3559","20571553-2",48,1.0084352183,2,7,2,2,1,-1,-1,2,45,"U",1,5
"3568","20572402-2",16,2.3141887626,2,1,2,1,1,2,-1,1,30,"TC",2,16
"3595","20579586-2",31,5.5883710094,2,1,2,1,1,3,-1,2,60,"S",2,-7
"3601","20581075-1",71,10.176121784,2,1,2,2,1,-1,-1,2,75,"S",4,12
"3603","20581075-3",71,6.6907407639,2,1,2,2,1,-1,1,2,25,"S",4,12
"3610","20581776-1",26,1.3275366701,2,1,2,2,1,-1,-1,1,26,"U",1,3
"3617","20582438-2",94,4.9696575806,2,2,2,1,2,3,-1,1,45,"TC",1,1
"3619","20582728-1",68,14.618805368,2,1,2,2,1,2,-1,2,78,"TC",2,6
"3620","20582728-2",68,9.0850210811,2,1,2,2,1,-1,-1,1,80,"TC",2,6
"3629","20583837-2",31,9.5090475755,2,1,2,2,1,-1,-1,2,70,"S",1,4
"3657","20587826-1",42,5.236407656,2,1,2,1,1,-1,3,2,51,"TC",2,17
"3665","20588627-1",74,24.196185152,2,1,2,2,1,2,-1,2,47,"TC",2,18
"3686","20591645-2",6,0.8483771906,2,1,2,1,1,-1,-1,1,45,"C",2,4
"3717","20594495-2",21,13.156832597,2,1,2,2,1,-1,-1,1,71,"TC",1,8
"3722","20595698-3",33,1.7217946876,2,1,2,2,1,2,-1,2,16,"C",3,17
"3728","20596529-3",65,14.565101581,2,1,2,2,1,-1,-1,1,21,"S",2,17
"3736","20597517-3",20,0.8476940867,2,1,2,2,1,-1,-1,2,16,"TC",3,18
"3759","20600640-1",76,10.769556211,2,1,2,2,1,2,-1,2,61,"TC",1,-8
"3793","20604871-2",72,4.8659363616,2,2,2,1,1,-1,-1,2,50,"C",2,6
"3809","20607153-1",51,0.2520983425,2,1,2,2,1,3,-1,2,69,"TC",1,4
"3859","20617198-2",67,0.6587046431,2,1,2,2,1,-1,-1,2,49,"TC",3,18
"3860","20617198-3",67,21.836762694,2,1,2,2,1,2,-1,2,22,"TC",3,18
"3864","20617639-2",53,6.8574452421,2,3,2,2,1,-1,-1,2,20,"C",2,17
"3877","20618944-1",97,0.2030383678,2,1,2,2,1,2,-1,2,84,"TC",1,6
"3888","20620666-1",50,4.4986438956,2,1,2,1,1,-1,-1,2,61,"C",1,2
"3895","20623788-1",31,6.0916001861,2,1,2,2,1,2,-1,2,70,"S",2,10
"3896","20623788-2",31,6.1142839787,2,1,2,1,1,3,-1,1,75,"S",2,10
"3899","20625353-1",3,7.2037834667,2,1,2,2,1,-1,-1,2,42,"TC",2,18
"3914","20627236-3",79,1.5124829597,2,1,2,2,1,-1,-1,2,17,"C",3,10
"3923","20627889-4",30,3.9685892267,2,1,2,1,1,3,-1,2,21,"U",4,16
"3951","20631363-3",100,6.1782831542,2,1,2,2,1,-1,-1,2,22,"TC",3,18
"3957","20631943-1",38,5.2507312059,2,1,2,2,1,-1,-1,1,61,"U",2,18
"3965","20632294-1",25,4.7196675818,2,1,2,2,1,3,-1,2,65,"U",1,-7
"3985","20635307-2",80,0.2312673021,2,1,2,2,1,-1,-1,2,55,"C",3,17
"3986","20635307-3",80,4.9760568085,2,1,2,2,1,2,-1,1,17,"C",3,17
"3987","20635389-1",8,2.4854093742,2,1,2,2,1,-1,2,2,40,"S",1,18
"3998","20637105-1",22,0.4938754371,2,1,2,2,2,-1,-1,2,29,"C",1,6
"3999","20637347-1",52,5.7805201727,2,1,2,2,1,-1,-1,1,68,"TC",1,8
"4004","20637794-1",62,4.9867024666,2,1,2,2,1,2,-1,2,55,"TC",1,9
"4022","20638849-3",63,1.8133002017,2,1,2,2,1,3,-1,2,19,"TC",1,3
"4030","20640468-1",49,12.386512563,2,1,2,2,1,3,-1,2,44,"TC",2,18
"4036","20640767-1",4,5.2035264873,2,1,2,2,1,2,-1,1,72,"C",1,14
"4042","20641193-3",48,7.9377614625,2,1,2,2,1,2,-1,2,18,"TC",3,15
"4049","20642565-1",26,1.0051311465,2,7,2,2,1,1,-1,1,68,"C",1,2
"4059","20644288-2",89,16.670583995,2,1,2,2,1,-1,-1,2,56,"TC",1,-7
"4060","20644701-1",41,2.3777831135,2,1,2,2,1,-1,2,1,56,"C",1,18
"4061","20644822-1",25,12.977600417,2,2,2,2,1,-1,-1,2,74,"TC",1,2
"4065","20646152-1",55,9.6508868828,2,1,2,2,1,-1,-1,2,74,"TC",1,17
"4069","20646620-1",32,15.266766779,2,1,2,2,1,-1,3,2,39,"S",2,17
"4086","20648633-3",81,12.572914327,2,1,2,2,1,3,-1,1,21,"TC",1,8
"4096","20649649-3",42,2.1646248229,2,1,2,2,2,-1,-1,2,42,"TC",3,10
"4097","20649649-4",42,2.0420339174,2,1,2,2,1,-1,-1,2,23,"TC",3,10
"4115","20652630-3",63,12.233507384,2,1,2,2,1,-1,-1,1,47,"S",1,9
